ID,英文詞彙,中文詞彙,中國大陸譯名,更新日期
21366541,platform gate,月臺門,屏蔽门,
21366542,platform ticket,月臺票,月台票；站台票,
21366543,play bad cop,扮黑臉,唱白脸,
21366544,play favorites,拉偏架,拉偏架；拉偏手儿,
21366545,play good cop,扮白臉,唱红脸,
21366546,play house,家家酒；扮家家酒,过家家,
21366547,Play mahjong,打麻將,打麻将；搓麻将；搓麻,
21366548,play make-believe,扮家家酒,過家家,
21366549,Playground,遊樂場；遊樂園,游乐场；游乐园；娱乐城,
21366550,playschool,幼幼班,小小班,
21366551,plunge bath,浴池,池堂；池汤；浴池；池塘,
21366552,poison pen letter,黑函,黑帖；无名帖,
21366553,polar night,永夜,极夜,
21366554,Police Bureau,警察局,警察局 ；公安局,
21366555,Police Officer,警員,警员,
21366556,political asylum,政治庇護,政治庇护；政治避难,
21366557,pollutant standards index {= PSI},空氣汙染指標,空气污染指数,
21366558,polyester fibre,聚酯纖維,聚酯纤维；涤纶,
21366559,polymerization,聚合作用,聚合反应,
21366560,polystyrene,保麗龍,保丽龙；泡沫塑料,
21366561,pomfret,鯧；鯧魚,鲳；鲳鱼；平鱼,
21366562,poo,大便,大便；大解；解大手,
21366563,Pop,普普,普普；波普,
21366564,Pop Art,普普；普普藝術,普普；普普艺术；波普；波普艺术,
21366565,port,埠,端口,
21366566,portable application,可攜式軟體,绿色软件；可携式软件,
21366567,portal,入口網站,门户网站,
21366568,Portunus,梭子蟹,蝤蛑；梭子蟹；枪蟹,
21366569,postcode,郵遞區號,邮编 ；邮码；邮政编码,
21366570,poster,海報,壁报；墙报,
21366571,postman,郵差,邮差 ；投递员；邮递员,
21366572,postmark,集郵日戳；癸字戳,集邮日戳,
21366573,potato,馬鈴薯,洋芋；山药蛋；马铃薯；土豆,
21366574,potato chips,薯片；洋芋片,薯片 ；土豆片,
21366575,potato starch,(馬鈴薯)太白粉,生粉,
21366576,poverty line,貧窮線,贫困线,
21366577,power bank,行動電源,充电宝；随身充；移动电源,
21366578,power generation plant,電廠；發電廠,电厂；发电厂；发电站,
21366579,precision agriculture,精準農業,精准农业；精确农业,
21366580,prefab,組合屋,活动板房,
21366581,preliminary class,前段班,快班,
21366582,Premiere,首映典禮,首映典礼；首映式；首映礼,
21366583,pre-owned house,中古屋,二手房；二手楼,
21366584,preposition,介係詞,介词；前置词,
21366585,pre-sale house,預售屋,期房,
21366586,presbyopia,老花眼,老花眼；老光；老视,
21366587,preschool education,學前教育,幼教；幼儿教育；学前教育,
21366588,press-up,伏地挺身,俯臥撑,
21366589,pressure cooker,壓力鍋,压力锅 ； 高压锅,
21366590,price-earnings ratio,本益比,本益比；市盈率,
21366591,primary industry,第一級產業,第一级产业；初级产业；第一产业,
21366592,primary wave,P波；初波；初達波,P波；初波；初至波,
21366593,primase,引子酶；導引酶,引发酶,
21366594,prime number,質數,质数；素数,
21366595,primer,引子,引物,
21366596,Principal,正犯,正犯；实行犯,
21366597,print,列印,打印,
21366598,printer,印表機；列印機；列表機,打印机,
21366599,priority seat,博愛座,老弱病残孕专座,
21366600,prism,稜柱；角柱,棱柱,
21366601,private dining room,包廂,包間,
21366602,private investigation agency,徵信社,征信所,
21366603,Private Prosecution,自訴,自诉；私诉,
21366604,private school,私立學校,民校,
21366605,probability,概率 ；或然率；機率,概率；或然率；机会率；几率,
21366606,process server,執達員,执达员；执达吏,
21366607,producer,生產者,生产者；独立营养生物；自养生物,
21366608,product placement,置入式廣告,隐性广告；嵌入式广告；植入式广告,
21366609,program,程式,程序,
21366610,program control,程式控制,程控；程序控制,
21366611,programmer,程式員,程序员,
21366612,programming,程式設計,程序设计,
21366613,programming language,程式語言,程序语言；编程语言；程序设计语言,
21366614,project,專案,項目,
21366615,projector,投影機,投影机；投影器；投影仪,
21366616,property market,房市,房市；楼市,
21366617,prostate,前列腺；攝護腺,前列腺,
21366618,protoplasm,原生質,原生质；活质,
21366619,protractor,分度規；量角器,分度规；分度器；半圆规；量角器；半圆仪,
21366620,provisional execution,假執行,假执行；先予执行,
21366621,provisional injunction,假處分,诉讼保全；财产保全,
21366622,proxy server,代理伺服器,代理服务器,
21366623,psychological counseling,心理諮商,心理咨询,
21366624,psychological violence,精神暴力,精神暴力；软暴力,
21366625,public hearing,聽證會；公聽會,听证会,
21366626,public hospitals,公立醫院,公费医疗,
21366627,public housing,國宅；國民住宅,经适房 ；经济适用房,
21366628,puffed rice cake,米香；米香餅,米香；米香饼；米通,
21366629,pump,泵,泵 ；唧筒,
21366630,pumping station,抽水站,抽水站；泵站；扬水站,
21366631,punch clock,打卡機；打卡鐘,打卡机,
21366632,punk,龐克,朋克,
21366633,pure water,純水,纯净水,
21366634,push-up,伏地挺身,俯卧撑,
21366635,pyramid,稜錐；角錐,棱锥 ；棱锥体,
21366636,QR code,二維條碼,二维条码；二维码；二维条形码,
21366637,preliminaries,預賽,外围赛 ；预选赛,
21366638,quality,品質,品质；质量,
21366639,quality control,品質管制；品管,品质管制；质管；质检,
21366640,quality of life,生活品質,生活质量 ；生存质量,
21366641,quarantine,檢疫,检疫,
21366642,quaternary industry,第四級產業,第四级产业；第四产业,
21366643,quinoline,喹啉,喹啉,
21366644,radian system,弧度制；弳度制,弧度制,
21366645,radiophone,無線電話,无绳电话,
21366646,radish,蘿蔔,萝卜 ；莱菔；芦菔,
21366647,rage comic,梗漫,暴漫；暴走漫画,
21366648,rah-rah skirt,啦啦隊服,拉拉队服；啦啦队服；助威服,
21366649,railroad crossing,鐵路平交道,道口,
21366650,rain boots,雨靴,雨靴；水靴,
21366651,rainbow trout,虹鱒,虹鳟；虹鳟鱼；麦奇大麻哈鱼,
21366652,raise,調薪,调薪；调资,
21366653,range,範圍,全距；极差,
21366654,rap,饒舌,饶舌；说唱,
21366655,raw lacquer,生漆,大漆；生漆；土漆；国漆,
21366656,read only memory {= ROM},唯讀記憶體,只读存储器,
21366657,readily available house,成屋,现房,
21366658,read-only memory,唯讀記憶體,只讀存儲器,
21366659,ready-to-waer,成衣,成衣；成服,
21366660,rear-end collision,追撞,追尾,
21366661,rebellious,叛逆；叛逆心理,叛逆；叛逆心理；逆反；逆反心理,
21366662,reconstituted milk,還原乳,还原乳；还原奶；复原乳,
21366663,record,唱片,唱片；唱碟；唱片儿；唱盘,
21366664,record store,唱片行,音像店,
21366665,recruitment activities,徵才會,招聘会,
21366666,red blood cell,紅血球,红血球；红细胞,
21366667,reference,參照物,参照物；参考系,
21366668,refracted light,折射光,折光,
21366669,refrigerant,冷媒,製冷劑；冷媒,
21366670,refrigerator,冰箱；電冰箱,冰箱；电冰箱；雪柜,
21366671,rejection reaction,排斥反應,排异反应,
21366672,repertoire,劇碼,剧目,
21366673,replenishing ship,補給艦,补给船；补给舰；运补船；供应舰,
21366674,reporting,報導,报导；报道,
21366675,rescue team,救護隊；救難隊,救护队,
21366676,resident student,住校生,住校生；住读生,
21366677,resignation,辭職,离任；离岗,
21366678,resolution,解析度,分辨率,
21366679,restaurant show,西餐秀,西餐秀,
21366680,retire,退役,退役,
21366681,return on investment,投資報酬率,投报率；投资回报率,
21366682,return rate,報酬率,回报率,
21366683,retweet,轉貼,转帖；转贴,
21366684,reversible lane,調撥車道,可变车道；潮汐车道,
21366685,rhythmic gymnastic,韻律操；韻律體操,韵律操；韵律体操；艺术体操,
21366686,ribozyme,核糖核酸酵素,核酶,
21366687,rice cooker,電鍋,电饭锅 ；电饭煲,
21366688,rice paddies,水田,水田；水地,
21366689,rice vermicelli,米粉,米粉；米面,
21366690,Richter scale,芮氏地震規模,里氏；里氏震级,
21366691,ridge,田埂,土埂；田埂；田垄；地埂；地埂子,
21366692,rifle,來福槍,来复枪,
21366693,rigged,被操縱的；黑箱作業,黑箱操作；暗箱操作,
21366694,ring of fire,火環；環太平洋火圈；環太平洋火山帶,火环；环太平洋火圈；环太平洋火山带；太平洋火圈；太平洋火山带,
21366695,ring road ,環道,环路,
21366696,ringback tone,來電答鈴,彩铃,
21366697,riot police,鎮暴警察,防暴警察,
21366698,rock-bottom price,破盤價,破盘价；破冰价,
21366699,roller coaster,雲霄飛車,過山車,
21366700,roller skates,溜冰鞋,滑轮鞋；旱冰鞋；轮滑鞋,
21366701,roller skating,滑輪溜冰,轮滑,
21366702,romance,羅曼史,罗曼史；罗曼司,
21366703,round trip ticket,來回票,来回票；往返票,
21366704,row,列,行,
21366705,rubberband,橡皮筋,橡皮圈；橡皮筋；皮筋；皮筋儿；猴筋儿；猴皮筋儿,
21366706,Rubik's cube,魔術方塊,魔方,
21366707,runway ,走秀,走秀；走台,
21366708,RV (recreational vehicle),露營車,房車,
21366709,salad,沙拉,沙拉；色拉；沙律,
21366710,salad oil,沙拉油,色拉油,
21366711,salamander,蠑螈,蝾螈,
21366712,salaried class,受薪階級,工薪阶层,
21366713,salaried employees,受薪族,工薪族,
21366714,sales,展售,展销,
21366715,saliva,唾液,口水；口沫；口涎；唾沫；唾液；哈喇子,
21366716,salmon,鮭魚,鲑鱼；三文鱼；大马哈鱼；大麻哈鱼,
21366717,samba,森巴,森巴；桑巴,
21366718,sample size,樣本數,样本数；样本量,
21366719,sanitary pad,衛生棉,卫生巾,
21366720,satellite dish,小耳朵,小鍋,
21366721,sauna,三溫暖,芬兰浴；桑拿；桑拿浴；萨乌拉浴,
21366722,saxophone,薩克斯風,萨克斯；萨克管；萨克斯风；萨克斯管,
21366723,scaffolding,鷹架,脚手架,
21366724,scalp,黃牛,黄牛；票贩子,
21366725,scanner,掃描器,扫描机；扫描器；扫描仪,
21366726,scarlet runner bean,花豆；大紅豆,花豆；红腰豆,
21366727,scavenging,拾荒,拾荒；拾破烂；捡破烂；捡破烂儿,
21366728,school fair,園遊會,游园会,
21366729,school movement,全校運動會；校運會,校运会,
21366730,schweinshaxe,德國豬腳,德国猪脚；德国咸猪手,
21366731,scientific notation,科學記法,科学计数法,
21366732,Scooter,摩托車；小型機車,速可达；速克达；踏板摩托车,
21366733,screen,螢幕,屏幕 ；荧屏 ；视屏 ；荧光屏,
21366734,screening,篩檢,筛检；筛查,
21366735,screensaver,螢幕保護程式,屏保 ；屏幕保护,
21366736,screenshot,截圖；螢幕截圖,截图；截屏；屏幕截图,
21366737,screwdriver,螺絲起子,起子；螺丝刀；螺丝起子；改锥,
21366738,search engine,搜尋引擎,搜索引擎,
21366739,searchlight,探照燈,探海灯；探照灯；探射灯,
21366740,Sebastodes fuscescens,黑鮶；許氏平鮋,黑鲪；许氏平鲉；黑寨；黑石鲈,
21366741,secondary industry,第二級產業,第二级产业；第二产业,
21366742,secondary pollution,二次汙染,二次污染；次生污染,
21366743,security,保全；警衛；保全人員,保安；保安员,
21366744,security guard,警衛,警卫；警卫员,
21366745,sedan,轎車；房車,轿车；房车；小轿车；小卧车；,
21366746,seesaw,翹翹板；蹺蹺板,翘翘板；跷跷板；压板,
21366747,seniority,年資,年资；资龄；工龄,
21366748,sensor network,感測網路,感测网络,
21366749,separation type,分離式,分体式,
21366750,server,伺服器,服务器,
21366751,set up stall,擺地攤,摆摊；摆摊子；摆地摊；练摊儿,
21366752,setter,舉球員,二传手；托手,
21366753,set-top box,機上盒,解码盒 ；机顶盒,
21366754,severance pay,資遣費,遣散费,
21366755,Severe Acute Respiratory Syndrome｛=SARS｝,嚴重急性呼吸道症候群,沙士；非典；薩斯；非典型肺炎；严重急性呼吸综合征,
21366756,sexless marriage,無性婚姻,无性婚姻；无性婚,
21366757,share prices drop,盤跌,盘跌；阴跌,
21366758,shareware,共用軟體；共享軟體,共享软件,
21366759,shark fin,魚翅,鱼翅；翅子,
21366760,shaver,刮鬍刀,剃鬍刀,
21366761,shear wave,剪力波,次波 ；剪力波,
21366762,shelf life,保存期限,保存期限；保质期,
21366763,shell corporation,空殼公司；空頭公司,空壳公司；皮包公司,
21366764,shield machine,潛盾機,盾构机,
21366765,shirt,襯衫,衬衫；衬衣,
21366766,shopping street,商店街,商业街,
21366767,short message,簡訊,短讯息；短信；短信息；短消息,
21366768,shoulder,路肩,路肩；应急车道,
21366769,shovel,剷土機,铲土机；铲运机,
21366770,show house,樣品屋,样板间；样板房,
21366771,showcase,展示櫃,展柜；展示柜；展橱,
21366772,shrinking,縮水,缩水；抽水,
21366773,shuttle bus,交通車,交通车；班车,
21366774,silastic,矽橡膠,硅橡胶,
21366775,silica gel,矽膠,硅胶,
21366776,silicate,矽酸鹽,硅酸盐,
21366777,silicon chip,矽片；矽晶片,硅片；硅晶片,
21366778,silicon dioxide,二氧化矽,二氧化硅,
21366779,silicon steel,矽鋼,硅鋼,
21366780,silicon valley,矽谷,硅谷,
21366781,silicosis,矽肺,硅肺,
21366782,simultaneous interpreting,同步口譯,同传 ；同声传译；同声翻译,
21366783,single lens reflex camera,單眼相機,单眼相机；单反相机,
21366784,single mother,單親媽媽,单亲妈妈；单身妈妈；独身妈妈,
21366785,sister cities,姊妹市；姐妹市,姊妹市；姐妹市；兄弟市；姊妹城；姐妹城；友好城市,
21366786,Skating Rink,溜冰場,溜冰场；旱冰场,
21366787,sleep apnea syndrome,睡眠呼吸中止症,睡眠窒息症；睡眠呼吸中止症；睡眠呼吸暂停综合征,
21366788,slow traffic lane,慢車道,慢车道；慢行道,
21366789,small denominations,散票,散票；零票,
21366790,small truck,小貨車,小货车；微型车,
21366791,smartphone,智慧型手機,智能手机,
21366792,smear,抹片,涂片,
21366793,snowman,雪人,雪人；雪罗汉,
21366794,social media manager,網路編輯,网编；网络编辑,
21366795,social networking site,社群網站,社交网站,
21366796,sodium bicarbonate,小蘇打,小苏打；食粉,
21366797,soft drink,汽水,軟飲,
21366798,soft power,軟實力,软实力；软力量,
21366799,software,軟體,软件,
21366800,software engineering,軟體工程,软件工程,
21366801,solar energy sector,太陽光電產業,太阳光电产业；光伏产业,
21366802,solar flare,太陽閃焰；日閃焰,耀斑；太阳耀斑,
21366803,solar furnace,太陽爐,太阳炉；太阳灶,
21366804,sound card,音效卡,声卡 ；声效卡,
21366805,source code,原始碼,源代码,
21366806,South-bound,下行,下行,
21366807,souvenirs,販賣部,小卖部,
21366808,space probe,太空探測器,太空探测器；宇宙探测器；空间探测器,
21366809,space science,太空科學,空间科学,
21366810,space ship,太空船,太空船；宇宙飞船；飞船；太空机,
21366811,space shuttle,太空梭,太空梭；航天飞机,
21366812,space station,太空站,太空站；空间站；航太站；航天站,
21366813,space suit,太空衣,太空衣；太空服；宇宙服 ；宇航服 ；航天服,
21366814,space technical ,太空技術,太空技术；宇航技术；空间技术；航天技术,
21366815,space walk,太空漫步,太空漫步；太空行走,
21366816,spamming,濫發,刷屏；洗屏,
21366817,span,跨度；跨距,跨度；跨径,
21366818,spanish mackerel,土魠魚,马鲛；马鲛鱼,
21366819,spark plug,火星塞,火花塞,
21366820,sparkling wine,汽泡酒,汽酒,
21366821,Special Education School for the Blind,啟明學校,盲人学校,
21366822,Special Education School for the Deaf,啟聰學校,聋哑学校,
21366823,special industries,特種行業,特种行业；特业；特行,
21366824,speed skating,競速滑冰,速滑；速度滑冰,
21366825,Spirillum,螺旋菌,螺菌,
21366826,Spoken Drama,話劇,话剧 ；文明戏,
21366827,spoon,湯匙,湯勺,
21366828,spot news,焦點新聞,焦点新闻；沸点新闻,
21366829,spring party,春酒,春酒；春茗,
21366830,square kilometer,平方公里,平方公里；平方千米,
21366831,square meter,平方米；平方公尺,平方米；平方公尺；平方；平米,
21366832,squatter,違章建築,违建；违章建筑；违规建筑,
21366833,squib,導火線,导火线；导火索；导爆索,
21366834,ssence of chicken,雞精,鸡精,
21366835,stacker,堆高機,叉车 ；铲车,
21366836,stamp collecting,集郵冊,邮册；邮集；集邮册；插册,
21366837,standard of living,生活水準,生活水平；生活水准；生活程度,
21366838,starter,啟動器,启动器；启辉器,
21366839,starting pitcher,先發投手,先发投手；开局投手,
21366840,State Compensation,國家賠償；國賠,国家赔偿,
21366841,state school,公立學校,公立学校；公办学校,
21366842,stereo,立體聲；身歷聲,立体声,
21366843,steward,男空服員,空少；空中少爷；空哥；空中先生,
21366844,sticking plaster (UK),OK繃,創可貼,
21366845,storage device,儲存設備,存儲設備,
21366846,store,店面,店面；铺面房；门面房,
21366847,Store value card,儲值卡,充值卡,
21366848,streaming media,串流媒體,串流媒体；流媒体,
21366849,street racer,飆車族；暴走族,飙车族,
21366850,street tree,行道樹；路樹,行道树,
21366851,strong currency,強勢貨幣,强势货币；硬通货,
21366852,struggle for existence,生存競爭,生存竞争；生存斗争,
21366853,student loans,助學貸款,助学贷款；贷学金,
21366854,style,風格,風範；範兒,
21366855,subject,學科,学科,
21366856,substrate,受質；底材；基質,受质；底物,
21366857,succession,接班人,接班人,
21366858,suit,套裝,套装；套服,
21366859,summer time,夏令時間；日光節約時間,夏令时间 ；经济时；夏令時；夏时制 ；日光节约时,
21366860,summit meeting,高峰會議,峰会；高峰会；高峰会议；首脑会议,
21366861,summon,傳喚,传讯；传唤；传审,
21366862,sun glasses,墨鏡；太陽眼鏡,墨镜；太阳镜,
21366863,sunbathe,日光浴,日光浴；太阳浴,
21366864,sunshine rights,日照權,阳光权,
21366865,supercomputer,超級電腦,超级电脑；超级计算器,
21366866,supermarket,超市；超級市場,超市；超级市场；自选市场；自选商场,
21366867,supersonic,超音速,超音速；超声速,
21366868,Supreme Court,最高法院,最高人民法院,
21366869,surf and turf,雙拼,双拼,
21366870,surfactant,表面活性劑；界面活性劑,表面活性剂,
21366871,surfer,網友,网友；网民,
21366872,surrogate mother,代理孕母,代母；代孕母亲,
21366873,suspense,懸疑,悬疑；悬念,
21366874,suspense film,懸疑劇,悬疑剧；悬念剧,
21366875,suspension of schooling,休學,休学；停学,
21366876,sweet potato,地瓜；番薯,甘薯；白薯；地瓜；红薯；番薯；蕃薯；红苕,
21366877,swine influenza,豬流行性感冒,猪流感；甲型H1N1,
21366878,swing,牽線,牵线；牵头,
21366879,switch gears,換檔；排檔,挂挡；换挡；排挡,
21366880,synchronised swimming,水上芭蕾,水上芭蕾；花样游泳,
21366881,syndicated loan,聯貸；聯合貸款,银团贷款,
21366882,syndrome,症候群,症候群；综合征,
21366883,synthetic petroleum,合成石油,合成石油；人造石油,
21366884,system software,系統軟體,系统软件,
21366885,table tennis,乒乓球；桌球,乒乓球,
21366886,tack,圖釘,图钉；摁钉儿,
21366887,tactile guide path,導盲道,导盲道；盲道,
21366888,tactile paving,導盲磚,盲道砖,
21366889,Taiwanese opera,歌仔戲,歌仔戏；芗剧,
21366890,take a taxi,搭計程車,搭计程车；搭出租车；打车；打的,
21366891,take one's shift,代班,代班；顶班；替班,
21366892,take over,接管,接班,
21366893,talking-head,大頭照,大头照；标准照；标准像,
21366894,Tango,探戈,探戈；糖果舞,
21366895,tapioca starch,(木薯)太白粉,生粉,
21366896,tartar horn,觱達,觱达；筚达,
21366897,taskbar,工作列,任务栏,
21366898,tax stamp,稅票,税票；税单,
21366899,tax threshold,起徵點,起征点；起税点；征税起点,
21366900,taxi,計程車,计程车；出租车；出租汽车 ；的士,
21366901,taximeter,計費表,计价器,
21366902,tea bag,茶包,茶包；袋泡茶,
21366903,tea egg,茶葉蛋,茶叶蛋；茶鸡蛋,
21366904,Tech War,高科技戰爭,高科技战争；高技术战争,
21366905,teletypewriter,電傳打字機,电传机,
21366906,tempered glass,強化玻璃,钢化玻璃,
21366907,tender award,決標,决标；定标,
21366908,tenderloin,里脊肉,里脊；里脊肉,
21366909,Tenor,喻體,本体,
21366910,Terminal,航廈,航站楼；候机楼,
21366911,tertiary industry,第三級產業,第三级产业；第三产业；三产,
21366912,test grading,閱卷,阅卷；评卷,
21366913,Tetra Pak,利樂包；鋁箔包,利乐包 ；软包装,
21366914,The Beatles,披頭四,披头士,
21366915,thermal paper,感熱紙,热敏纸,
21366916,thermometer,溫度計,探温机；探温器；探热机；测温机；热像仪,
21366917,thermos,保溫杯,保温杯；保暖杯,
21366918,thermosphere,增溫層；熱氣層,增温层；热气层；暖层；热层；热成层,
21366919,Three Lord Emperors,三元大帝；三官大帝；三官帝君；三界公；三界爺,三元大帝；三官大帝；三官帝君,
21366920,three ply wood,三合板；三夾板,三合板,
21366921,three primary colors,三原色,三原色；三基色,
21366922,Thundersticks,加油棒；啦啦棒,加油棒；啦啦棒；助威棒；球迷棒,
21366923,tick,被套,被套；被罩,
21366924,ticket gate,通關機；驗票閘門,闸机,
21366925,tilapia,吳郭魚,非鲫；非洲鲫鱼；罗非鱼,
21366926,tiller,耕耘機；鐵牛,耕耘机,
21366927,timing,定時,定时；定点,
21366928,tinned,罐裝,罐装；听装,
21366929,tire,輪胎,车胎；轮胎；车带；轮带,
21366930,title page,扉頁,扉页；內封,
21366931,TOEIC,多益,托业,
21366932,tofu pudding,豆花,豆花；豆腐脑；豆腐花,
21366933,toilet,廁所；洗手間,便所；厕所；洗手间；卫生间,
21366934,toilet paper,衛生紙,廁紙,
21366935,tomato,番茄,番茄；蕃茄；西红柿,
21366936,tonsil,扁桃腺,扁桃腺；扁桃体,
21366937,tooth molar,臼齒,大牙；臼齿；槽牙；磨牙,
21366938,top up,儲值,充值,
21366939,torrential rain,大豪雨,大豪雨；特大暴雨,
21366940,touch screen,觸控式螢幕,触屏 ；触摸屏 ；触控式屏幕,
21366941,tour bus,遊覽車,旅游车,
21366942,tourism bureau,觀光局；觀光旅遊局,旅游局,
21366943,tourism industry,觀光產業,旅游业；旅业；旅游事业,
21366944,tractor,拖拉機,拖拉机；铁牛,
21366945,tractor trailer,聯結車,拖挂车,
21366946,traditional flavor,傳統風味；古早味,传统风味,
21366947,traffic law,交通法規,交通法规；交规,
21366948,traffic police,交通警察,交警；交通警察；交通警,
21366949,trailer,拖車,拖车；挂车,
21366950,trampoline,彈翻床,蹦床,
21366951,transcript,轉錄本,转录本；转录物,
21366952,transfer station,轉運站,转运站；换乘站,
21366953,transistor,電晶體,晶体管,
21366954,transition matrix,轉移矩陣,转移矩阵；转移阵,
21366955,transmission control protocol{=TCP},傳輸控制協定,传输控制协议,
21366956,transport capacity,運能,运能；运力,
21366957,tree burial,樹葬,树葬；植树葬,
21366958,trench coat,風衣,风衣；风雨衣,
21366959,Triazolam,酣樂欣,三唑仑；酣乐欣；海乐神,
21366960,trick ski,花式滑水,花样滑水,
21366961,triglyceride,三酸甘油酯,三酸甘油酯；甘油三酸酯；甘油三酯,
21366962,trip circuit breaker,跳電,跳闸,
21366963,Trojan code,特洛伊木馬程式,特洛伊木马程序,
21366964,Trojan Horse,特洛伊木馬,特洛伊木马,
21366965,truck bed,車斗,车斗；跨斗,
21366966,trunk,後車廂,后车厢；后备厢,
21366967,tumbler,不倒翁,不倒翁；扳不倒儿,
21366968,tuna,鮪魚,鲔鱼；金枪鱼；吞拿鱼,
21366969,twerking,電臀舞；搖臀舞,电臀舞,
21366970,U disk,隨身碟,U盤；閃存盤,
21366971,ultrabook,超極致筆電,超极本,
21366972,ultrasonic wave,超音波,超声波,
21366973,uniform resource locator{=URL},全球資源定位器；全球資源定址器,统一资源定位器；统一资源定位符；统一资源定位地址,
21366974,uninstall,解除安裝,卸载,
21366975,uninterruptabale power system{=UPS},不斷電系統,不间断电源,
21366976,Universiade,世界大學運動會,大运会；世界大学生运动会,
21366977,unlicensed taxi,無照計程車,黑車,
21366978,upright,直立式,立式,
21366979,upset price,底價,底价；标底,
21366980,upshift,升檔,升挡,
21366981,urban renewal,都市更新；都更,城市更新；都市更新；旧城改造,
21366982,urbanization degree,都市化程度,城市化程度；都市化程度；城市化率；城市化水平,
21366983,USB flash Drive,抽取式磁碟,移动存储器,
21366984,Used Item,考古題,真题,
21366985,user friendly interface{=UFI},用戶親和介面,友好用户界面,
21366986,user interface{=UI},用戶介面；使用者介面,用户界面,
21366987,usury,閻王帳,阎王账；阎王债,
21366988,vacant land tax,空地稅,土地闲置税,
21366989,valence,原子價,原子价；化合价,
21366990,van der Waals force,凡得瓦力,凡得瓦力；范德瓦耳斯力,
21366991,V-belt,三角皮帶,三角带,
21366993,vehicle licence,行照；行車執照,行驶证,
21366994,vehicle registration,行車執照,行駛證,
21366995,vending machine,自動販賣機,贩卖机；自动贩卖机 ；自动售货机,
21366996,very large scale integration,超大型積體電路,超大规模集成电路,
21366997,viagra,威而鋼,伟哥；万艾可,
21366998,video,影音；影片,音像；声像；視頻,
21366999,video conference,視訊會議,视频会议；电视电话会议,
21367000,video disc,光碟；影碟,碟片；影碟；视盘；视频光盘；激光视盘,
21367001,video disc player,光碟機,光驱；光盘机；光盘驱动器,
21367002,video phone,視訊電話,视频电话,
21367003,video recording,錄影,录像,
21367004,videotape,錄影帶,录像带,
21367005,videotape recorder,錄影機,录像机,
21367006,virtual memory,虛擬記憶體,虚拟内存；虚拟存储器,
21367007,virtual reality,虛擬實境,虚拟现实,
21367008,visitor center,遊客資訊中心,游客信息中心,
21367009,vocational high school,高級職業學校,职高；职业高中,
21367010,volume percentage,體積百分率,体积百分率；体积百分数,
21367011,volunteer,志工,义工；志愿者,
21367012,wafer,糯米紙,糯米纸；江米纸,
21367013,wafers,鬆餅,松饼；窝夫；华夫饼；格子饼；压花蛋饼,
21367014,wallpaper,壁紙,壁纸；墙纸,
21367015,waltz,圓舞曲；華爾滋,圆舞曲 ；华尔兹,
21367016,Warden,典獄長,监狱长,
21367017,warm up,熱身,热身,
21367018,warn-air machine,暖氣機,暖风机,
21367019,warranty,保固,保修,
21367020,warranty period,保固期,保修期,
21367021,washlet,免治馬桶,智能座便器,
21367022,waza,招式,招数；着数,
21367023,web series,網路劇,网剧；网络剧,
21367024,web smith,版主,版主；板主,
21367025,webcam,網路攝影機,网络摄影机；网络摄像头,
21367026,website,網站,网站；站点,
21367027,white coat,白袍,白大褂,
21367028,wide area network{=WAN},廣域網路,广域网,
21367029,widescreen televisions,寬螢幕電視,宽屏幕电视,
21367030,win victory,告捷,告捷；告胜,
21367031,windsurfer,風浪板,帆板；滑浪风帆,
21367032,wine party,酒會,酒会；冷餐会,
21367033,wiper,雨刷,雨刷；雨刮子；雨刮器,
21367034,wired network,有線網路,有线网络,
21367035,wireless network,無線網路,无线网络,
21367036,withdraw money,提款,通兌,
21367037,witness,證人,证人；证明人,
21367038,word processing,文書處理,文字处理,
21367039,workwear,工作服,工作服；职业装,
21367040,World Vision,世界展望會,世界宣明会,
21367041,World Wide Web {=WWW},全球資訊網,万维网,
21367042,wound,傷口,創面,
21367043,x-ray,Ｘ光；Ｘ射線,Ｘ光；Ｘ射线；伦琴射线；爱克斯光；爱克斯射线；Ｘ线,
21367044,yogurt,優格；優酪乳,酸奶；酸奶酪,
21367045,yoyo,溜溜球,悠悠球,
21367046,Yuppie,雅痞,雅痞；雅皮士；雅痞士,
21367047,Zantedeschia aethiopica,海芋,马蹄莲,
21367048,zebra crossing,斑馬線,斑馬線；橫道線,
21367049,zero growth,零成長,零增长,
21367050,zero-sum game,零和賽局,零和游戏；零和博弈,
21368129,cash gift,送禮金、紅包,出份子；随分子,
