ID,英文名詞,中文名詞,詞類,更新日期
21384625,crystalline iron,結晶鐵,橋梁工程,
21384626,cubature,求體積[法]；體積,橋梁工程,
21384627,cubic curve,三次曲線,橋梁工程,
21384628,cultural affiliations,文化種族；文化聚落,橋梁工程,
21384629,cultural period,文化期,橋梁工程,
21384630,cultural resource,文化資產,橋梁工程,
21384631,cultural resource investigation,文化資產研究,橋梁工程,
21384632,cultural resource management (CRM),文化資產管理,橋梁工程,
21384633,cultural resource site form,文化資產遺址制式表格,橋梁工程,
21384634,culture history,文化史,橋梁工程,
21384635,culvert ,涵洞；暗渠,橋梁工程,
21384636,cumulative stress,累積應力,橋梁工程,
21384637,cumulative vibration,累積振動,橋梁工程,
21384638,cup dolly,杯型鉚釘頭頂具,橋梁工程,
21384639,cup fracture,杯形破裂,橋梁工程,
21384640,cup washer,杯形墊圈,橋梁工程,
21384641,cup-and-ball joint,球窩接頭,橋梁工程,
21384642,curation,文物保存,橋梁工程,
21384643,curb chain,制動鏈,橋梁工程,
21384644,curb girder,路緣梁；緣梁,橋梁工程,
21384645,curled wood,波紋材,橋梁工程,
21384646,current,水流；氣流；電流,橋梁工程,
21384647,current meter,流速計,橋梁工程,
21384648,curved girder,曲梁,橋梁工程,
21384649,curved line,曲線,橋梁工程,
21384650,curved top chord,曲線形上弦桿,橋梁工程,
21384651,Cushing pile,庫欣木樁,橋梁工程,
21384652,cushion coat,緩衝層,橋梁工程,
21384653,cusp,尖點；歧點,橋梁工程,
21384654,cuspidal curve,尖曲線,橋梁工程,
21384655,cut and cover,明挖覆蓋法,橋梁工程,
21384656,cut gear,切製齒輪,橋梁工程,
21384657,cut nail,切製釘,橋梁工程,
21384658,cut spike,切製尖鐵,橋梁工程,
21384659,cut stone,琢石,橋梁工程,
21384660,cut-off,截斷器；截彎取直；截斷,橋梁工程,
21384661,cut-off end,截斷端,橋梁工程,
21384662,cut-stone masonry,琢石圬工,橋梁工程,
21384663,cutter,切斷機；刀刃,橋梁工程,
21384664,cutting edge,刀刃；削邊,橋梁工程,
21384665,cutting tool,切削工具,橋梁工程,
21384666,cutwater,橋墩分水角；破浪艏材,橋梁工程,
21384667,cycle,回轉；周期；循環；復原,橋梁工程,
21384668,cyclical bridge preventative maintenance ,定期橋梁預防性維護,橋梁工程,
21384669,cycloid,擺線；旋輪線,橋梁工程,
21384670,cycloidal curve,擺線；旋輪線,橋梁工程,
21384671,cylinder pier,圓形鋼管混凝土橋墩；鋼管混凝土橋墩,橋梁工程,
21384672,damage,損傷；毀壞,橋梁工程,
21384673,dangerous section,危險斷面；危險部位；臨界破壞面,橋梁工程,
21384674,dap,槽口,橋梁工程,
21384675,dapped joint,互嵌接合；嵌槽接頭,橋梁工程,
21384676,dashpot,緩衝器；減振器；黏性阻尼器,橋梁工程,
21384677,data recovery,資料還原,橋梁工程,
21384678,datum line,基準線,橋梁工程,
21384679,datum plane,基準面,橋梁工程,
21384680,day foreman,日班工頭,橋梁工程,
21384681,day superintendent,日班監工,橋梁工程,
21384682,dead load stress,靜載重應力；靜載應力,橋梁工程,
21384683,dead load ,靜載重；靜載,橋梁工程,
21384684,dead melt,全熔,橋梁工程,
21384685,dead pulley,惰輪；空轉輪,橋梁工程,
21384686,deadening dressing,粗面修琢,橋梁工程,
21384687,dead-man,錨定椿,橋梁工程,
21384688,dead-points,死點；靜點,橋梁工程,
21384689,debris,殘渣；岩屑；碎屑,橋梁工程,
21384690,deck beam,橋面板T形梁,橋梁工程,
21384691,deck cantilever,上承式懸臂橋,橋梁工程,
21384692,deck girder,上承式橋大梁,橋梁工程,
21384693,deck plate girder,上承式橋板梁,橋梁工程,
21384694,deck plate girder bridge,上承式板梁橋,橋梁工程,
21384695,deck slab,橋面板；承板樓板,橋梁工程,
21384696,deck span,上承式橋跨距,橋梁工程,
21384697,deck truss,上承式桁架；上承式桁架橋,橋梁工程,
21384698,deck truss bridge,上承式桁架橋,橋梁工程,
21384699,deck-type bridge,上承式橋,橋梁工程,
21384700,declivity,下斜；傾斜,橋梁工程,
21384701,deflection indicator,變位計,橋梁工程,
21384702,deflectometer,變位計,橋梁工程,
21384703,dentilation,齒飾,橋梁工程,
21384704,departure,橫距；經距；偏差；離場,橋梁工程,
21384705,depreciation,折舊,橋梁工程,
21384706,depth,深度,橋梁工程,
21384707,derailing apparatus,脫軌器,橋梁工程,
21384708,derailing switch,脫軌轉轍器,橋梁工程,
21384709,derrick car,起重機車,橋梁工程,
21384710,derrick crab,起重機搖臂,橋梁工程,
21384711,derrick crane,起重機,橋梁工程,
21384712,derrick mast,起重機桅桿；吊桿桅,橋梁工程,
21384713,derrick sheaves,起重機滑輪,橋梁工程,
21384714,design event ,設計用模擬事件,橋梁工程,
21384715,design hour volume (DHV) ,設計小時交通量,橋梁工程,
21384716,design professional,設計者,橋梁工程,
21384717,design review,設計審查,橋梁工程,
21384718,design service period,設計年限,橋梁工程,
21384719,designation number (des. no.),編號,橋梁工程,
21384720,design-bid-build project delivery,施工包工程發包,橋梁工程,
21384721,design-build project delivery,統包工程發包,橋梁工程,
21384722,detail drawing,詳圖；細部設計圖,橋梁工程,
21384723,detail paper,圖紙,橋梁工程,
21384724,determination of effect,狀況認定,橋梁工程,
21384725,determination of eligibility,資格認定,橋梁工程,
21384726,deviation,偏差,橋梁工程,
21384727,diagnostic artifact,鑑別文物,橋梁工程,
21384728,diagonal,斜桿,橋梁工程,
21384729,diagonal stay,斜向鋼纜,橋梁工程,
21384730,diagonal tie,斜向拉桿,橋梁工程,
21384731,diagonal wrench,斜口鉗,橋梁工程,
21384732,diagram,圖,橋梁工程,
21384733,diagram of stresses,應力圖,橋梁工程,
21384734,diagram of weights,荷重圖,橋梁工程,
21384735,diametral pitch,徑節{齒數-節圓直徑比},橋梁工程,
21384736,diametral plane,切徑平面,橋梁工程,
21384737,diamond drill,金剛石鑽頭,橋梁工程,
21384738,diaphragm,橫隔板；橫膈板；隔板；膈板,橋梁工程,
21384739,diaphragm beam,隔梁,橋梁工程,
21384740,diaphragm plate,橫膈板；橫隔板,橋梁工程,
21384741,die,鋼模,橋梁工程,
21384742,die stock,螺模夾把,橋梁工程,
21384743,dies,攻牙器,橋梁工程,
21384744,differential,微分,橋梁工程,
21384745,differential block,差動滑車,橋梁工程,
21384746,differential capstan,差速絞盤,橋梁工程,
21384747,differential coefficient,微分係數,橋梁工程,
21384748,differential coupling,差速聯軸器,橋梁工程,
21384749,differential gears,差速齒輪,橋梁工程,
21384750,differential jack,差動起重器,橋梁工程,
21384751,differential pulley,差動滑車；差動滑輪,橋梁工程,
21384752,differential screw-jack,差動螺旋千斤頂,橋梁工程,
21384753,differential tackle,差動滑車；差動滑輪,橋梁工程,
21384754,differential windlass,差動絞盤,橋梁工程,
21384755,dimension stone,規格石塊,橋梁工程,
21384756,dipper dredge,鏟斗挖泥船,橋梁工程,
21384757,direct current,直流電,橋梁工程,
21384758,direct effects,直接效應,橋梁工程,
21384759,direct stress,直接應力,橋梁工程,
21384760,direct tension,直接拉力,橋梁工程,
21384761,direct wind-load stress,直接風載應力,橋梁工程,
21384762,discharge valve,排放閥,橋梁工程,
21384763,disconnection,斷線；斷開；切斷；接合損壞,橋梁工程,
21384764,discount,折扣,橋梁工程,
21384765,disintegration,解體；分裂；蛻變,橋梁工程,
21384766,disk,碟,橋梁工程,
21384767,disk coupling,圓盤式聯軸器,橋梁工程,
21384768,disk crank,圓盤曲柄,橋梁工程,
21384769,disk pile,盤式擴底鋼椿,橋梁工程,
21384770,disk-braked train,碟式煞車火車,橋梁工程,
21384771,displacement demand ,變位需求,橋梁工程,
21384772,displacement diagram,變位圖,橋梁工程,
21384773,dive culvert,虹吸涵管,橋梁工程,
21384774,diving bell,潛水鐘,橋梁工程,
21384775,diving dress,潛水服,橋梁工程,
21384776,diving suit,潛水服,橋梁工程,
21384777,division wall,隔牆,橋梁工程,
21384778,dock,碼頭,橋梁工程,
21384779,dog,爪；制動爪,橋梁工程,
21384780,dog head,圓頭碎石工具,橋梁工程,
21384781,dog hook,鐵鉤,橋梁工程,
21384782,dog iron,鐵鉤,橋梁工程,
21384783,dolly bar,鉚釘頭模棒,橋梁工程,
21384784,dolomitic limestone,白雲石灰岩,橋梁工程,
21384785,dolphin,繫船樁,橋梁工程,
21384786,donkey engine,輔助引擎,橋梁工程,
21384787,donkey pump,鍋爐給水泵,橋梁工程,
21384788,Dorchester sandstone,多塞特砂岩,橋梁工程,
21384789,doty tie,腐朽連繫材,橋梁工程,
21384790,double block,雙滑輪,橋梁工程,
21384791,double bowstring truss,雙弓弦桁架；魚形桁架,橋梁工程,
21384792,double cancellation truss,雙交叉桁架,橋梁工程,
21384793,double cap,雙帽,橋梁工程,
21384794,double deck,雙層板,橋梁工程,
21384795,double drill,雙頭鑽,橋梁工程,
21384796,double end file,雙頭銼刀,橋梁工程,
21384797,double ender locomotive,雙頭機車,橋梁工程,
21384798,double intersection truss,雙交叉桁架,橋梁工程,
21384799,double locomotive excess-load,雙機車超額載重,橋梁工程,
21384800,double piston locomotive,雙活塞機車,橋梁工程,
21384801,double refined iron,二重精煉鐵,橋梁工程,
21384802,double rim bearing draw,雙環軸承開合橋跨,橋梁工程,
21384803,double rim-bearing turntable,雙環軸承轉台；雙環軸承轉盤,橋梁工程,
21384804,double riveted lacing,雙鉚釘繫條,橋梁工程,
21384805,double riveting,雙排交錯鉚釘,橋梁工程,
21384806,double rotating cantilever draw,雙懸臂旋轉橋,橋梁工程,
21384807,double shear,雙剪,橋梁工程,
21384808,double shear steel,雙剪鋼骨,橋梁工程,
21384809,double triangular truss,雙交叉桁架,橋梁工程,
21384810,double truck tank locomotive,雙車廂機車,橋梁工程,
21384811,double wrench,雙頭鉗,橋梁工程,
21384812,double-acting piston,雙動氣壓缸,橋梁工程,
21384813,double-bitted axe,雙刃斧,橋梁工程,
21384814,double-faced hammer,雙面錘,橋梁工程,
21384815,double-intersection Pratt truss,雙重交叉普拉特桁架,橋梁工程,
21384816,double-speed pulley,雙速滑輪,橋梁工程,
21384817,double-step joint,雙階式接合；兩段斜接頭,橋梁工程,
21384818,douglas fir,洋松,橋梁工程,
21384819,dovetail,鳩尾榫,橋梁工程,
21384820,dovetail joint,鳩尾接合,橋梁工程,
21384821,dowel joint,榫釘接合；綴縫筋接合,橋梁工程,
21384822,doweled masonry,榫接砌作；榫接圬工,橋梁工程,
21384823,downspout ,落水管,橋梁工程,
21384824,downstream,下游,橋梁工程,
21384825,downstream face,壩下游面,橋梁工程,
21384826,drafted dressing,粗琢石飾面,橋梁工程,
21384827,drafted stone,粗琢塊石,橋梁工程,
21384828,draught,草圖,橋梁工程,
21384829,draw,活動橋開啟段,橋梁工程,
21384830,draw bridge,活動橋,橋梁工程,
21384831,draw rest,活動橋開啟段支撐,橋梁工程,
21384832,draw span,活動橋開啟段橋跨,橋梁工程,
21384833,drawing down,斷面漸減,橋梁工程,
21384834,dressed and matched flooring,槽榫板,橋梁工程,
21384835,dressed ashlar,琢石,橋梁工程,
21384836,dressing,石琢；飾面；敷料；塗料,橋梁工程,
21384837,drift bolt,衝銷栓,橋梁工程,
21384838,drift ice,浮冰,橋梁工程,
21384839,drill,鑽頭；鑽孔機,橋梁工程,
21384840,drill barrow,鑽頭；鑽孔機,橋梁工程,
21384841,drill bit,鑽頭,橋梁工程,
21384842,drill chuck,鑽頭夾頭,橋梁工程,
21384843,drill gauge,鑽徑規,橋梁工程,
21384844,drill plate,鑽板,橋梁工程,
21384845,drill press,鑽床,橋梁工程,
21384846,drill stock,鑽柄,橋梁工程,
21384847,drilled shaft,鑽掘樁；鑽掘深基礎；沉箱,橋梁工程,
21384848,drilling,鑽孔；鑽屑,橋梁工程,
21384849,drilling machine,鑽機,橋梁工程,
21384850,drip pipe,滴水管,橋梁工程,
21384851,drip stone,滴岩；滴石；簷口,橋梁工程,
21384852,driven pulley,從動滑輪；被動滑輪,橋梁工程,
21384853,driving axle,傳動軸；主動軸,橋梁工程,
21384854,driving belt,傳動皮帶；驅動皮帶,橋梁工程,
21384855,driving box,傳動軸箱,橋梁工程,
21384856,driving fit,緊密打入；壓嵌配合,橋梁工程,
21384857,driving gear,傳動齒輪；驅動齒輪,橋梁工程,
21384858,driving nut,傳力螺帽,橋梁工程,
21384859,driving pulley,驅動滑輪；傳動滑輪；主動滑輪,橋梁工程,
21384860,driving shaft,驅動軸；半軸,橋梁工程,
21384861,driving wheel,驅動輪；傳動輪,橋梁工程,
21384862,drop arch,低尖拱,橋梁工程,
21384863,drop forging,落錘鍛造,橋梁工程,
21384864,drop hammer pile driver,落錘打樁機,橋梁工程,
21384865,drop inlet ,落水井,橋梁工程,
21384866,drop of beam,落梁降伏試驗,橋梁工程,
21384867,drop-in span,中央插入跨,橋梁工程,
21384868,droplet,微滴；熔滴,橋梁工程,
21384869,droved dressing,平鑿飾面,橋梁工程,
21384870,dry blow-out,乾吹分離,橋梁工程,
21384871,dry dock,乾船塢,橋梁工程,
21384872,dry masonry,乾砌作；乾砌石工,橋梁工程,
21384873,dry process in cement manufacture,水泥乾式製程,橋梁工程,
21384874,dry puddling,乾法攪煉,橋梁工程,
21384875,dry rotten wood,乾腐木,橋梁工程,
21384876,dry seam,石縫,橋梁工程,
21384877,Duchemin's formula,Duchemin 公式,橋梁工程,
21384878,dumb-bell pier,啞鈴形橋墩,橋梁工程,
21384879,dump,傾卸場；傾卸,橋梁工程,
21384880,dump car,傾卸車,橋梁工程,
21384881,dump scow,傾卸駁船,橋梁工程,
21384882,duplex hammer,雙面錘,橋梁工程,
21384883,duplex slide rule,雙標計算尺,橋梁工程,
21384884,durbar decking,花紋鋼橋板,橋梁工程,
21384885,durometer,硬度計,橋梁工程,
21384886,dust guard,防塵板；防塵罩,橋梁工程,
21384887,dutch brick,高溫燒結磚,橋梁工程,
21384888,dutchman,連綴軌,橋梁工程,
21384889,duty,能率,橋梁工程,
21384890,d-valve,滑閥,橋梁工程,
21384891,dynamic deflection,動力變位；動力撓度,橋梁工程,
21384892,dynamic equilibrium,動態平衡,橋梁工程,
21384893,dynamic force,動態力,橋梁工程,
21384894,dynamic horsepower,動態馬力；指示馬力；指示功率,橋梁工程,
21384895,dynamite,炸藥,橋梁工程,
21384896,Eads' pump,Eads 幫浦,橋梁工程,
21384897,eccentric,偏心,橋梁工程,
21384898,eccentric axis,偏心軸,橋梁工程,
21384899,eccentric gear,偏心齒輪,橋梁工程,
21384900,eccentric load,偏心載重；偏心負載,橋梁工程,
21384901,eccentric rod,偏心桿,橋梁工程,
21384902,eccentric strap,偏心環套,橋梁工程,
21384903,economic depth,經濟桁架深度；經濟大梁深度,橋梁工程,
21384904,economics,經濟學,橋梁工程,
21384905,eddy,渦流,橋梁工程,
21384906,effect,效應；效果；作用；影響,橋梁工程,
21384907,effective depth of girder,有效大梁深,橋梁工程,
21384908,effective horsepower,實際馬力,橋梁工程,
21384909,efficiency,效率,橋梁工程,
21384910,efficiency curve,效率曲線,橋梁工程,
21384911,efficiency of tackle,滑輪組效率,橋梁工程,
21384912,eggshell paper,蛋殼紙,橋梁工程,
21384913,ejector,彈射器；噴射器,橋梁工程,
21384914,ejector condenser,噴射凝結器；抽射冷凝器,橋梁工程,
21384915,elastic,彈性,橋梁工程,
21384916,elastic arch,彈性設計拱,橋梁工程,
21384917,elastomeric bridge bearing,人造橡膠橋梁支承,橋梁工程,
21384918,elbow,彎管；肘管,橋梁工程,
21384919,elbow joint,肘管接頭,橋梁工程,
21384920,electric crane,電動起重機,橋梁工程,
21384921,electric hammer,電鎚,橋梁工程,
21384922,electric hoist,電動吊車,橋梁工程,
21384923,electric motor,電動機；電動馬達,橋梁工程,
21384924,electrical horsepower,電力,橋梁工程,
21384925,electrical resistance,電阻,橋梁工程,
21384926,electromagnet,電磁鐵；電磁體,橋梁工程,
21384927,elevation difference,高程差,橋梁工程,
21384928,elevation view,立面圖,橋梁工程,
21384929,eligibility,適格性；合格性,橋梁工程,
21384930,ellipse,橢圓,橋梁工程,
21384931,elliptical arch,橢圓拱,橋梁工程,
21384932,elliptical curve,橢圓曲線,橋梁工程,
21384933,embankment dam,土石壩,橋梁工程,
21384934,empirical coefficient,經驗係數,橋梁工程,
21384935,empirical formula,經驗公式,橋梁工程,
21384936,end floor beam,樓板端梁,橋梁工程,
21384937,end pin,端跨插銷,橋梁工程,
21384938,end reaction,端部反力,橋梁工程,
21384939,end shear,端部剪力,橋梁工程,
21384940,end treatment,端部處理{護欄端部},橋梁工程,
21384941,endless chain,無端環鏈；循環鏈,橋梁工程,
21384942,end-lifting apparatus,端部起重裝置{活動橋},橋梁工程,
21384943,energy,能量；能,橋梁工程,
21384944,engine,引擎；發動機,橋梁工程,
21384945,engineer scale,工程比例尺,橋梁工程,
21384946,engineering,工程；工程學,橋梁工程,
21384947,engineering brick,工程磚,橋梁工程,
21384948,engineering design,工程設計,橋梁工程,
21384949,engineering news formula,基樁安全載重公式,橋梁工程,
21384950,engineer's hammer,工程師錘,橋梁工程,
21384951,engineer's level,工程水準儀,橋梁工程,
21384952,enlarged scale,放大比例尺；放大比例圖,橋梁工程,
21384953,environment,環境,橋梁工程,
21384954,environmental assessment (EA),環境評估,橋梁工程,
21384955,environmental document,環境文件,橋梁工程,
21384956,environmental impact assessment,環境影響評估,橋梁工程,
21384957,environmental impact assessment report,環境影響評估報告書,橋梁工程,
21384958,environmental scoping manager,環境影響議題經理,橋梁工程,
21384959,epicycloid,外擺線,橋梁工程,
21384960,epicycloidal curve,外擺線,橋梁工程,
21384961,epicycloidal tooth,外燼齒,橋梁工程,
21384962,equalizer,均衡器,橋梁工程,
21384963,equations of equilibrium,平衡方程式組,橋梁工程,
21384964,equilibrium of three parallel forces in one plane,共面三平行力平衡定律,橋梁工程,
21384965,equilibrium polygon,平衡多邊形,橋梁工程,
21384966,equipment bridging,組合式便橋組裝,橋梁工程,
21384967,equivalent uniform live load,等值均布活載重,橋梁工程,
21384968,erecting bill,架設清單,橋梁工程,
21384969,erection,架設；安裝；組立,橋梁工程,
21384970,erection car,架設車,橋梁工程,
21384971,erection diagram,架設圖；安裝圖,橋梁工程,
21384972,erection drawing,架設圖；安裝圖,橋梁工程,
21384973,erection gang,架設工班,橋梁工程,
21384974,erection stress,架設應力,橋梁工程,
21384975,erosion prevention and sediment control (EPSC) ,侵蝕預防與泥沙控制,橋梁工程,
21384976,escarpment, 崖；陡崖,橋梁工程,
21384977,ethnobotanical analysis,民族植物學分析,橋梁工程,
21384978,Euler's formula,歐拉公式；尤氏公式；尤拉公式,橋梁工程,
21384979,evolute,漸屈線,橋梁工程,
21384980,evolute curve,漸屈線,橋梁工程,
21384981,exaggerated scale drawing,不等比例圖,橋梁工程,
21384982,excavating shaft,挖掘井；挖掘豎井,橋梁工程,
21384983,excavation block,開挖區塊,橋梁工程,
21384984,excavator,開挖機；挖土機,橋梁工程,
21384985,expanded metal,膨脹金屬；擴張金屬板,橋梁工程,
21384986,expanding reamer,擴脹性絞孔器,橋梁工程,
21384987,expansion bearing,伸縮支承,橋梁工程,
21384988,expansion bolt,膨脹螺栓,橋梁工程,
21384989,expansion end,伸縮端,橋梁工程,
21384990,expansion girder,伸縮大梁,橋梁工程,
21384991,expansion joint,伸縮縫；伸縮接頭{鐵路},橋梁工程,
21384992,expansion pocket,伸縮托座,橋梁工程,
21384993,expansion roller,伸縮輥支承,橋梁工程,
21384994,explosive,炸藥 ; 爆炸物,橋梁工程,
21384995,extension bar,接長桿,橋梁工程,
21384996,extension plate,齒形接縫鈑,橋梁工程,
21384997,external wall,外牆,橋梁工程,
21384998,extrados,拱背線；拱背面,橋梁工程,
21384999,extreme fiber,外緣纖維,橋梁工程,
21385000,extreme fiber stress,最外緣纖維應力,橋梁工程,
21385001,extreme high water,最高歷史水位,橋梁工程,
21385002,extreme high-water-mark,最高歷史水位,橋梁工程,
21385003,eye,眼孔；環首；桿眼,橋梁工程,
21385004,eye and strap,桿眼鉸鏈,橋梁工程,
21385005,eye bolt,環首螺栓；眼螺栓,橋梁工程,
21385006,eye splice,眼環結；索眼接,橋梁工程,
21385007,eyebar dog,眼桿吊鉗,橋梁工程,
21385008,eyebar head,眼桿頭,橋梁工程,
21385009,eyebar hook,眼桿吊鉗,橋梁工程,
21385010,eyebar upsetter,眼桿鍛粗機,橋梁工程,
21385011,eyepiece,目鏡,橋梁工程,
21385012,facade,正面；立面；建築立面,橋梁工程,
21385013,face of gear tooth,節圓外齒輪面,橋梁工程,
21385014,face wall,面牆,橋梁工程,
21385015,faced joint,平面接頭,橋梁工程,
21385016,facing,面飾；上塗料；對向；對向岔尖{鐵路行車},橋梁工程,
21385017,fall blocks,滑輪,橋梁工程,
21385018,fall line,滑輪下拉索,橋梁工程,
21385019,fall line ball,滑輪繩垂球,橋梁工程,
21385020,falls,滑輪繩索,橋梁工程,
21385021,false cap,假柱頭,橋梁工程,
21385022,false-bottom,假底,橋梁工程,
21385023,falsework bolts,搭架螺栓,橋梁工程,
21385024,falsework cap,搭架帽梁,橋梁工程,
21385025,falsework pile,搭架樁,橋梁工程,
21385026,fan-tail joint,鳩尾接頭；燕尾接頭,橋梁工程,
21385027,far bank,遠端堤岸,橋梁工程,
21385028,fascia girder,外緣大梁,橋梁工程,
21385029,fascine,梢蓐護岸；沉梢 ,橋梁工程,
21385030,fast joint,螺栓固定接頭,橋梁工程,
21385031,fast pulley,定滑輪；定輪；固定皮帶輪,橋梁工程,
21385032,fastening angle,結合角鋼；連接角材；連接角鋼,橋梁工程,
21385033,fat lime,富石灰；優質石灰,橋梁工程,
21385034,fatigue of metals,金屬疲勞,橋梁工程,
21385035,faucet,水龍頭,橋梁工程,
21385036,fauna,動物遺骸考古；動物群；動物區系,橋梁工程,
21385037,feasible and prudent,可行性及周延性,橋梁工程,
21385038,feather,裂石金屬薄片,橋梁工程,
21385039,feather and wedge,裂石用具,橋梁工程,
21385040,feather-edge,薄邊,橋梁工程,
21385041,feather-edge brick,斜削磚；楔形磚,橋梁工程,
21385042,Featherstone dredge,費瑟斯通挖泥船,橋梁工程,
21385043,federal highway administration (FHWA),美國聯邦公路總署；美國聯邦公路管理局,橋梁工程,
21385044,feed water pump,鍋爐給水泵；給水泵,橋梁工程,
21385045,feeder road bridge,次要道路橋梁,橋梁工程,
21385046,felloe,輪輞；輞,橋梁工程,
21385047,felloe plank,防撞護欄,橋梁工程,
21385048,felly,輪輞；輞,橋梁工程,
21385049,felly plank,防撞護欄,橋梁工程,
21385050,female joint,套接,橋梁工程,
21385051,female screw,內紋螺桿,橋梁工程,
21385052,fender,圍籬；擋泥板；護舷材,橋梁工程,
21385053,fender pile,防護樁,橋梁工程,
21385054,ferroconcrete,鋼筋混凝土,橋梁工程,
21385055,fibre,纖維,橋梁工程,
21385056,fibre stress,縱向拉應力，順纖維方向應力，纖維應力,橋梁工程,
21385057,fibrous,纖維性；纖維狀,橋梁工程,
21385058,fibrous fracture,纖維狀斷口；纖維狀破壞面,橋梁工程,
21385059,fibrous iron,纖維狀熟鐵,橋梁工程,
21385060,fibrous stroked dressing,纖維狀飾面,橋梁工程,
21385061,field book,現場紀錄簿,橋梁工程,
21385062,field recording,文化資源紀錄,橋梁工程,
21385063,field welding,工地銲接；現場銲接,橋梁工程,
21385064,field work,現地作業,橋梁工程,
21385065,fiery steel,過燒鋼；炙熱鋼,橋梁工程,
21385066,file,檔案；銼刀；銼,橋梁工程,
21385067,filler plate,填縫板,橋梁工程,
21385068,filler wire,銲線,橋梁工程,
21385069,fillet weld,填角銲道,橋梁工程,
21385070,filling,填料；填方,橋梁工程,
21385071,filling pile,混凝土填充樁,橋梁工程,
21385072,fin plate,加勁板；連接板,橋梁工程,
21385073,fine pointed dressing,細琢飾面,橋梁工程,
21385074,finished grade ,地表完成面,橋梁工程,
21385075,finishing stakes,最終標樁,橋梁工程,
21385076,Fink truss,芬克式桁架；芬克桁架,橋梁工程,
21385077,fire brick,耐火磚,橋梁工程,
21385078,fire-cracked rock (FCR),火裂石,橋梁工程,
21385079,fireless locomotive,無火機車,橋梁工程,
21385080,fire-setting,火力破石,橋梁工程,
21385081,first cost,原始成本；期初成本,橋梁工程,
21385082,first-class masonry,貝克式石砌,橋梁工程,
21385083,fish bellied girder,魚腹梁,橋梁工程,
21385084,fish belly,魚腹式桁架,橋梁工程,
21385085,fish bolt,連接板螺栓；魚尾板螺栓,橋梁工程,
21385086,fish joint,魚尾板夾接,橋梁工程,
21385087,fish-belly,魚腹式,橋梁工程,
21385088,fishbolt,連接板螺栓；魚尾板螺栓,橋梁工程,
21385089,fishing,魚尾板夾接,橋梁工程,
21385090,fitting-up,預裝；假組立,橋梁工程,
21385091,fitting-up clamp,預裝夾具,橋梁工程,
21385092,fitting-up gang,預裝工班,橋梁工程,
21385093,fixed (hingeless) arch,固端拱；無鉸拱,橋梁工程,
21385094,fixed arch ,固端拱,橋梁工程,
21385095,fixed charges,固定支出；固定開支,橋梁工程,
21385096,fixed end,固定端；錨固端,橋梁工程,
21385097,fixed load,固定載重；固定荷重,橋梁工程,
21385098,fixed point,定點；不動點,橋梁工程,
21385099,fixed post,固端柱,橋梁工程,
21385100,fixed span,固定式橋跨,橋梁工程,
21385101,flange angle,翼板角鋼,橋梁工程,
21385102,flange coupling,法蘭接頭；凸緣接頭,橋梁工程,
21385103,flange joint,法蘭接頭；法蘭接合；凸緣接頭；凸緣接合,橋梁工程,
21385104,flange rail,凸緣軌條,橋梁工程,
21385105,flange splice,翼板續接,橋梁工程,
21385106,flange stress,翼板應力,橋梁工程,
21385107,flange union,法蘭接頭；凸緣接頭,橋梁工程,
21385108,flank of gear tooth,齒輪齒腹,橋梁工程,
21385109,flashing angle,防水角鋼,橋梁工程,
21385110,flashing point,閃點；燃點；引火點,橋梁工程,
21385111,flashings,防水板,橋梁工程,
21385112,flasks,模箱,橋梁工程,
21385113,flat,平；扁鋼；淺灘,橋梁工程,
21385114,flat arch,平拱；扁拱,橋梁工程,
21385115,flat dolly,扁頭鉚頂,橋梁工程,
21385116,flat file,扁銼,橋梁工程,
21385117,flat rasp,平銼刀,橋梁工程,
21385118,flat reamer,平底絞刀 ,橋梁工程,
21385119,flat scale,扁平尺規；錘狀鱗片,橋梁工程,
21385120,flat wood file,木工平銼刀,橋梁工程,
21385121,flat-head,平頭{螺栓頭或鉚釘頭},橋梁工程,
21385122,flat-rope pulley,平皮帶滑輪,橋梁工程,
21385123,fleeting tackle,水平輔助吊鈎,橋梁工程,
21385124,Flemish bond,荷蘭式砌法；佛蘭密斯砌法,橋梁工程,
21385125,Flemish brick,佛蘭密斯磚,橋梁工程,
21385126,flexure,撓曲,橋梁工程,
21385127,fliers,樓梯梯級,橋梁工程,
21385128,flight,梯段,橋梁工程,
21385129,flitch beam,鋼木夾合梁；夾板組合梁,橋梁工程,
21385130,flitch plate,鋼木複合梁板材,橋梁工程,
21385131,flitched beam,鋼木夾合梁；夾板組合梁,橋梁工程,
21385132,flitched girder,鋼木夾合梁；夾板組合梁,橋梁工程,
21385133,floated surface,鏝平面,橋梁工程,
21385134,floater,流動工,橋梁工程,
21385135,floating pier,浮式突堤碼頭；浮式碼頭,橋梁工程,
21385136,flogging hammer,鑄件加工用錘；鍛錘,橋梁工程,
21385137,flood arch,泛洪拱；乾地拱,橋梁工程,
21385138,floor,橋板；樓板,橋梁工程,
21385139,floor bolt,橋板螺栓,橋梁工程,
21385140,floor girder,橋板大梁；樓板大梁,橋梁工程,
21385141,floor plank,橋條板,橋梁工程,
21385142,floor space,橋面板空間；樓地板空間,橋梁工程,
21385143,floor spike,橋板釘,橋梁工程,
21385144,floor-beam,樓板梁；橫梁,橋梁工程,
21385145,floor-beam concentration,橋板梁集力；樓板梁集力,橋梁工程,
21385146,flooring,橋板；橋板材,橋梁工程,
